state_fips,m_ind_name,replacement_rate_1,replacement_rate_2,replacement_rate_3,n
1,Agriculture & forestry,0.399079681172592,1.26979898554916,0.834439333360874,10
1,Construction,0.465592961368024,1.48143214980735,0.973512555587686,66
1,Educational & health services,0.431104593859281,1.3888426404443899,0.912668020863456,329
1,Financial activities,0.33256640097716,1.05816582129096,0.695366111134061,71
1,Information,0.3837304626659537,1.2209605630280342,0.802345512846994,18
1,Leisure & hospitality,0.49999999400000006,1.71900702012719,1.10950350706359,73
1,Manufacturing,0.399079681172592,1.26979898554916,0.834439333360874,196
1,Mining,0.25866275631556873,0.8230178610040824,0.5408403086598256,5
1,Other services,0.436493401282522,1.38884264044439,0.912668020863456,41
1,Professional services,0.4655929613680241,1.48143214980735,0.973512555587686,126
1,Public administration,0.310395307578682,0.987621433204899,0.649008370391791,69
1,Transportation & utilities,0.349194721026018,1.11107411235551,0.730134416690765,92
1,Wholesale & retail trade,0.49884960146574,1.58724873193644,1.04304916670109,142
2,Agriculture & forestry,0.26021111519253465,0.6821750857750233,0.4711931004837791,10
2,Construction,0.2505736664817,0.85934720791553,0.537013619276129,48
2,Educational & health services,0.45836646307628104,1.35661896266717,0.903602810450876,212
2,Financial activities,0.3416913633841361,0.985364012786145,0.680612256254348,34
2,Information,0.4176227774695,1.09484890309572,0.7562358402826079,19
2,Leisure & hospitality,0.476950351306359,1.69421819680972,1.0837379152957,50
2,Manufacturing,0.464118698399758,1.26609700506238,0.86510785173107,27
2,Mining,0.23286038909045192,0.6235677692594229,0.4282140791749374,14
2,Other services,0.46171276347977,1.22359215480926,0.842652459144516,32
2,Professional services,0.46171276347977,1.267460857607292,0.8637906690358439,57
2,Public administration,0.37586049972255,1.04825958807037,0.724055591759944,85
2,Transportation & utilities,0.468243158262594,1.33896246263916,0.903602810450876,56
2,Wholesale & retail trade,0.469779721740905,1.49278953974568,0.9848699455260219,109
4,Agriculture & forestry,0.507919594219662,1.77771857976882,1.14281908699424,11
4,Construction,0.253959797109831,0.888859289884409,0.57140954349712,55
4,Educational & health services,0.348287721750626,1.21900702612719,0.783647373938907,243
4,Financial activities,0.24568872189432,0.8599105266301201,0.55279962426222,105
4,Information,0.32079132266505,1.12276962932767,0.721780475996362,20
4,Leisure & hospitality,0.430136565323638,1.50547797863273,0.967807271978185,53
4,Manufacturing,0.290239768125521,1.01583918843932,0.653039478282423,82
4,Mining,0.16253427015029193,0.5688699455260218,0.3657021078381568,4
